subject,subjNum,condition,runNum,trial,playerNum,endowment,propReturned,returned,trialRT,optimal_choice,binned_trial_num,delta,q_val
5,4005,1,2,43,2,7.5,0.45,13.5,2.650639208,10,12,4.504468837,1.706608933
5,4005,1,2,44,3,5,0.35,7,1.199455166,10,10,0.734998737,1.299443036
5,4005,1,2,45,1,0,0.05,0,0.62036522,0,13,-0.514129897,0.479904663
5,4005,1,2,46,3,5,0.15,3,1.266730085,0,11,-3.274631353,1.056641649
5,4005,1,2,47,1,2.5,0,0,1.158811157,0,14,-2.821872395,0.134022507
5,4005,1,2,48,3,5,0.15,3,1.120829232,0,12,-2.920459328,0.726046584
5,4005,1,2,49,1,0,0.15,0,1.021363263,0,15,0.006917575,-0.00659342
5,4005,1,2,50,4,7.5,0.05,1.5,1.138886333,0,11,-6.999874528,0.533898234
5,4005,1,2,51,3,0,0.35,0,0.899228668,10,13,-0.388697596,0.362822294
5,4005,1,2,52,2,5,0.5,10,0.880700958,10,13,4.060389833,1.129878557
5,4005,1,2,53,3,2.5,0.25,2.5,1.094523323,10,14,-0.633929475,0.591729275
5,4005,1,2,54,2,5,0.45,9,0.757400304,10,14,2.9007146,1.23521183
5,4005,1,2,55,3,2.5,0.3,3,1.12555158,10,15,-0.285406382,0.766407098
5,4005,1,2,56,4,5,0.3,6,1.220591213,10,12,0.064442597,0.93857716
5,4005,1,2,57,4,7.5,0,0,1.067390802,0,13,-8.43857716,0.376827532
5,4005,1,2,58,4,2.5,0.5,5,1.00201944,10,14,2.123172468,0.476318621
5,4005,1,2,59,4,2.5,0.15,1.5,1.057349687,0,15,-1.476318621,0.378041219
5,4005,1,2,60,2,2.5,0.5,5,1.279926239,10,15,1.610985928,0.964504287
6,4006,1,1,1,1,2.5,0.2,2,2.226939758,0,1,-0.905466479,-0.459482412
6,4006,1,1,2,2,2.5,0.5,5,1.546687016,10,1,2.094533521,0.753938765
6,4006,1,1,3,1,0,0.15,0,2.236433709,0,2,0.459482412,-0.383037282
